"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",37.1256108007056,2.17225610077888,17.0908074731124,3.34493982542407e-46
"Weighted3PEff_Demeaned",0.0359974459543574,0.00787050653471304,4.57371400374167,7.01820651365737e-06
"TwoPointEff_Demeaned",0.0151458552499407,0.00591348812102205,2.561238805249,0.0109189267141047
"FTEff_Demeaned",0.0174900248341294,0.00393499819666074,4.44473515870262,1.23998177913174e-05
"TOV_Demeaned",-0.0456456456723045,0.00676843345627402,-6.7439010765472,7.92523090504202e-11
"ORB_Demeaned",-0.0091006836465824,0.00556158042138922,-1.63634847598035,0.102815283141128
"AST_Demeaned",0.00751479808206916,0.00495884216519499,1.51543401296655,0.130715436644236
"STL_Demeaned",0.0490985559477611,0.00894783315276164,5.48720065624015,8.69352196000807e-08
"BLK_Demeaned",0.0171428571929383,0.00845956364486772,2.02644697913451,0.0436034561682674
"DRB_Demeaned",0.0289847269528513,0.00504537891961947,5.74480676568041,2.25816341340444e-08
"PF_Demeaned",-0.0182878477669158,0.00529940500266765,-3.45092472791,0.000638857300199002
"factor(Team)Boston Celtics",4.99492561420586,3.15335856830753,1.58400178920558,0.114246868899524
"factor(Team)Brooklyn Nets",2.0500530503576,3.12437569833984,0.656148059097666,0.512231793962762
"factor(Team)Charlotte Bobcats",-0.905510166350847,7.88929389336112,-0.114777086338847,0.908698592489118
"factor(Team)Charlotte Hornets",-5.32885967762705,3.2802314084388,-1.62453772740481,0.105311224499548
"factor(Team)Chicago Bulls",2.3750626472172,3.18623316127936,0.74541395026582,0.456605121368447
"factor(Team)Cleveland Cavaliers",8.51470430335544,3.16425290566853,2.69090510689015,0.00752540476185839
"factor(Team)Dallas Mavericks",0.70039988968166,3.26535788124382,0.214494066241483,0.830307517607628
"factor(Team)Denver Nuggets",6.6682422420661,3.15186311739331,2.11565096379596,0.0351983461480336
"factor(Team)Detroit Pistons",0.833644875948689,3.20251274855625,0.260309619789807,0.794803526655517
"factor(Team)Golden State Warriors",5.66463495352875,3.24825625772275,1.74390026650793,0.0822007703569977
"factor(Team)Houston Rockets",3.42502787245827,3.30276751275581,1.03701754944309,0.30056281192813
"factor(Team)Indiana Pacers",4.35421380132542,3.17502527138871,1.37139500606902,0.171276722026177
"factor(Team)League Average",2.88630767626438,3.09048369859678,0.933933959132317,0.351089041402597
"factor(Team)Los Angeles Clippers",5.86453527516517,3.16992023783315,1.85005767816227,0.0652884394278164
"factor(Team)Los Angeles Lakers",-1.91896552882191,3.14642882844232,-0.609886837889137,0.542398439836774
"factor(Team)Memphis Grizzlies",5.48599391534265,3.28629487053466,1.66935534742508,0.0960901009061429
"factor(Team)Miami Heat",9.72089486415749,3.10710314350907,3.12860385226188,0.00192902473300928
"factor(Team)Milwaukee Bucks",2.54453108508475,3.14252053381375,0.809710249370023,0.418748490128936
"factor(Team)Minnesota Timberwolves",-2.10190981865775,3.14370635055171,-0.668608828012473,0.504259168368498
"factor(Team)New Orleans Pelicans",-2.34376529880858,3.13654632406291,-0.747243960922149,0.455501580112071
"factor(Team)New York Knicks",3.89351166493284,3.33283643256656,1.16822764744398,0.243642487031592
"factor(Team)Oklahoma City Thunder",4.93928586912894,3.24910496087715,1.52019892512044,0.129514204807208
"factor(Team)Orlando Magic",-2.34951240563802,3.19860732643756,-0.73454230727808,0.463192035037226
"factor(Team)Philadelphia 76ers",2.47465793115789,3.22464509203403,0.76742024642375,0.44343525044851
"factor(Team)Phoenix Suns",4.94802224975597,3.19901082413567,1.54673507586298,0.12298135947245
"factor(Team)Portland Trail Blazers",4.97657970789412,3.26600056434682,1.52375347457707,0.128623728445333
"factor(Team)Sacramento Kings",0.595927829214652,3.14338315228412,0.189581670558241,0.84976515482474
"factor(Team)San Antonio Spurs",0.550007769890625,3.23924077802863,0.169795272281474,0.865285586290532
"factor(Team)Toronto Raptors",6.3298528466679,3.21308180502647,1.97002542442761,0.0497549964388078
"factor(Team)Utah Jazz",7.95927073220992,3.18048173388441,2.50253621877873,0.0128625968045117
"factor(Team)Washington Wizards",0.739792848668272,3.18733700655092,0.232103742763247,0.816615687204554
