"","GVIF","Df","GVIF^(1/(2*Df))"
"Weighted3PEff_Demeaned",5.58950336878779,1,2.36421305486367
"TwoPointEff_Demeaned",5.44171732569525,1,2.33274887754667
"FTEff_Demeaned",1.50010152424001,1,1.22478631778772
"TOV_Demeaned",2.11088953383847,1,1.45289006254378
"ORB_Demeaned",1.54218218498632,1,1.24184628073942
"AST_Demeaned",3.62555467155977,1,1.90408893478214
"STL_Demeaned",1.97939641231019,1,1.40691023605281
"BLK_Demeaned",1.50739823887959,1,1.22776147474971
"DRB_Demeaned",2.59327386672482,1,1.61036451361945
"PF_Demeaned",1.99892602557818,1,1.41383380408667
"factor(Team)",25.2987597506054,31,1.05349052208658
